Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Turkmenistan,TKM,..,..,3.3,3.3,3.4,3.5,3.6,3.8,3.9,4.1,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Uganda,UGA,..,..,33.3,37.5,38.9,38.4,37.3,37.1,36.8,36.9,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Ukraine,UKR,..,..,2.5,2.5,2.6,3,3.7,4.3,5.3,5.8,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,United Arab Emirates,ARE,..,..,4.6,4.4,4.2,3.6,3.3,3.1,3.4,2.7,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,United Kingdom,GBR,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,United States,USA,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Uruguay,URY,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Uzbekistan,UZB,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Vanuatu,VUT,..,..,7.4,7.4,7.4,7.5,7.8,8,8.1,7.9,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,"Venezuela, RB",VEN,..,..,11.1,17.2,23.4,23.2,23.9,22.2,20,17.6,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,West Bank and Gaza,PSE,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,"Yemen, Rep.",YEM,..,..,38.1,41.3,42,40.2,38.4,36.7,36.9,39.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Zambia,ZMB,..,..,34,32.3,30.8,30.5,31.2,32.9,34.4,35.4,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Zimbabwe,ZWE,..,..,33,35.5,36.7,38.7,39.4,39.5,38.9,38.1,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Africa Eastern and Southern,AFE,..,..,22.60775971,23.32696813,23.81802706,24.05535173,24.88451632,25.70828705,26.45286591,26.79567106,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Africa Western and Central,AFW,..,..,12.00359084,12.00732242,12.21050024,12.37945716,13.06976429,13.67404898,14.7108244,15.44376641,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Arab World,ARB,..,..,11.21503901,11.77915088,12.20930646,12.27361864,12.41967966,12.66680439,13.21760063,13.8529659,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Caribbean small states,CSS,..,..,5.862649732,5.723768732,5.578803493,5.326091476,5.215518514,5.317868726,5.450338198,5.47000114,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Central Europe and the Baltics,CEB,..,..,2.772495279,2.758540542,2.646810546,2.57682529,2.550097679,2.543227819,2.532473188,2.559576856,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Early-demographic dividend,EAR,..,..,10.69765539,10.33824079,9.887546386,9.805792504,10.59584291,11.54608607,12.2806001,12.35356571,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,East Asia & Pacific,EAS,..,..,4.474208896,4.314005979,4.144327635,4.031284299,3.547160773,3.564251164,3.644122009,3.710979024,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,East Asia & Pacific (excluding high income),EAP,..,..,4.667964826,4.48844901,4.299646287,4.181543908,3.631607327,3.645132275,3.715288531,3.778652824,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,..,..,4.181299794,3.989542576,3.77981765,3.667564302,3.631607327,3.645132275,3.715288531,3.778652824,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Euro area,EMU,..,..,2.550498204,2.544120092,2.525201082,2.512589839,2.504722832,2.504720503,2.509416304,2.517138444,..,..
